Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-315,350,3478.3662406240624,0.771981954574585
350-316,350,3501.1263374485593,0.6961460113525391
350-317,350,4581.824182418242,0.7145953178405762
350-318,350,2574.033207320732,0.3866560459136963
350-319,350,4455.773249324932,0.7263810634613037
350-320,350,3573.5680288028802,0.7156803607940674
350-321,350,3637.1066666666666,0.715508222579956
350-322,350,2577.2150915091506,0.7272319793701172
350-323,350,4853.490740740741,0.7674214839935303
350-324,350,2191.7126552655263,0.6754484176635742
350-325,350,2924.154185418542,0.8070240020751953
350-326,350,3065.1635463546354,0.7330598831176758
350-327,350,3364.3686768676866,0.7856025695800781
350-328,350,4110.427236723673,0.8291571140289307
350-329,350,2300.3264,0.7309300899505615
350-330,350,4311.524668466847,0.7205686569213867
350-331,350,2028.9866377378478,0.7210698127746582
350-332,350,1463.5457074966755,0.8124940395355225
350-333,350,3518.2638883888385,0.7354505062103271
350-334,350,2884.396897689769,0.6498303413391113
350-335,350,2026.0268766876688,0.7400689125061035
350-336,350,2352.359626258922,0.7505092620849609
350-337,350,3571.057901234568,0.7233467102050781
350-338,350,1961.6344854485449,0.7794370651245117
350-339,350,1807.1437333333333,0.7225537300109863
350-340,350,3215.683672367237,0.7264101505279541
350-341,350,2305.7325121771437,0.7590963840484619
350-342,350,2429.7437037037034,0.7156615257263184
350-343,350,2998.9814281428144,0.7179660797119141
350-344,350,2266.2571557155716,0.7147715091705322
350-345,350,1482.6382478247824,0.7670981884002686
350-346,350,2735.057037037037,0.7566299438476562
350-347,350,2579.047733333334,0.17873334884643555
350-348,350,2406.5992739273925,0.7074785232543945
350-349,350,2546.1177134380105,0.8356554508209229
350-350,350,2088.419873987399,0.8052337169647217
350-351,350,3332.9664086408643,0.7652111053466797
350-352,350,3250.125292529253,0.32163143157958984
350-353,350,inf,0.5822174549102783
350-354,350,2364.0182838283827,0.7314929962158203
350-355,350,2508.6059045904594,0.742786169052124
