Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-205,350,3613.4371604938265,0.5972189903259277
350-206,350,4189.217764776477,0.5921990871429443
350-207,350,5640.248106995885,0.5870709419250488
350-208,350,7084.068259825983,0.564162015914917
350-209,350,3822.1237305212007,0.5891509056091309
350-210,350,3377.8411581158116,0.5999538898468018
350-211,350,1983.4466666666667,0.5773739814758301
350-212,350,4085.7733333333335,0.6109828948974609
350-213,350,2027.9266666666663,0.5707399845123291
350-214,350,4386.089362788132,0.6216130256652832
350-215,350,4030.6910699588475,0.5999259948730469
350-216,350,5516.229466666667,0.5978569984436035
350-217,350,7356.313222322233,0.394305944442749
350-218,350,4766.60962962963,0.5890219211578369
350-219,350,3850.203345334534,0.596574068069458
350-220,350,2726.3376387638764,0.580251932144165
350-221,350,6194.19415241524,0.5843892097473145
350-222,350,5492.903132313232,0.5919637680053711
350-223,350,5021.578533333334,0.3151869773864746
350-224,350,5084.749921992197,0.5580582618713379
350-225,350,4559.731506150615,0.5987057685852051
350-226,350,6723.27692169217,0.5665500164031982
350-227,350,3949.053333333333,0.608745813369751
350-228,350,4357.530195019503,0.5932340621948242
350-229,350,3330.6491479147912,0.5901787281036377
350-230,350,4801.482222222223,0.5806190967559814
350-231,350,4586.749381938193,0.6020650863647461
350-232,350,4784.190243024303,0.6030569076538086
350-233,350,4088.046533333333,0.5209438800811768
350-234,350,4796.921323132313,0.6101818084716797
350-235,350,6006.411269126913,0.4508180618286133
350-236,350,850.7933333333332,0.584352970123291
350-237,350,3285.6682988298826,0.6110489368438721
350-238,350,3548.1666666666674,0.6103620529174805
350-239,350,2006.2333333333333,0.5947251319885254
350-240,350,inf,0.6448049545288086
350-241,350,6217.044266426641,0.40452098846435547
350-242,350,4231.2318930041165,0.6006088256835938
350-243,350,4091.065874587459,0.6016759872436523
350-244,350,5486.3656135613555,0.5989878177642822
350-245,350,4924.006342634263,0.5853519439697266
350-246,350,4437.544623462347,0.6011321544647217
350-247,350,2980.877056705671,0.5913870334625244
350-248,350,4496.452000000001,0.5411021709442139
350-249,350,4697.195532553256,0.584770917892456
350-250,350,4402.011999999999,0.6021039485931396
350-251,350,4709.182886288629,0.5902740955352783
350-252,350,4801.577656765676,0.6033971309661865
350-253,350,3875.0318518518516,0.5976948738098145
350-254,350,3375.958862886289,0.6119248867034912
350-255,350,3303.2200000000003,0.5916101932525635
350-256,350,5235.600939093911,0.5918412208557129
350-257,350,2462.0066666666667,0.5567936897277832
350-258,350,2457.566666666667,0.5488810539245605
350-259,350,4693.45621399177,0.594066858291626
350-260,350,4872.544197530864,0.5917139053344727
350-261,350,4081.993466666667,0.5947699546813965
350-262,350,4258.738418841884,0.5931267738342285
350-263,350,5235.886465646565,0.5730838775634766
350-264,350,2255.184444444444,0.6114928722381592
